"Year","Month","Temperature"
1853,1,5
1853,2,1
1853,3,3
1853,4,7
1853,5,11
1853,6,13
1853,7,14
1853,8,14
1853,9,12
1853,10,10
1853,11,5
1853,12,2
1854,1,4
1854,2,4
1854,3,6
1854,4,9
1854,5,10
1854,6,12
1854,7,15
1854,8,15
1854,9,15
1854,10,9
1854,11,5
1854,12,6
1855,1,2
1855,2,-2
1855,3,3
1855,4,7
1855,5,9
1855,6,13
1855,7,17
1855,8,16
1855,9,13
1855,10,10
1855,11,5
1855,12,3
1856,1,4
1856,2,5
1856,3,4
1856,4,8
1856,5,9
1856,6,13
1856,7,16
1856,8,17
1856,9,12
1856,10,11
1856,11,6
1856,12,5
1857,1,3
1857,2,4
1857,3,5
1857,4,7
1857,5,11
1857,6,16
1857,7,16
1857,8,17
1857,9,15
1857,10,11
1857,11,7
1857,12,8
1858,1,4
1858,2,2
1858,3,5
1858,4,8
1858,5,11
1858,6,16
1858,7,15
1858,8,16
1858,9,15
1858,10,10
1858,11,4
1858,12,6
1859,1,5
1859,2,6
1859,3,8
1859,4,8
1859,5,12
1859,6,15
1859,7,19
1859,8,17
1859,9,13
1859,10,10
1859,11,6
1859,12,2
1860,1,4
1860,2,2
1860,3,5
1860,4,6
1860,5,12
1860,6,12
1860,7,15
1860,8,14
1860,9,11
1860,10,10
1860,11,5
1860,12,2
1861,1,2
1861,2,5
1861,3,6
1861,4,8
1861,5,11
1861,6,15
1861,7,15
1861,8,16
1861,9,13
1861,10,12
1861,11,5
1861,12,5
1862,1,4
1862,2,5
1862,3,6
1862,4,9
1862,5,12
1862,6,13
1862,7,14
1862,8,15
1862,9,14
1862,10,11
1862,11,4
1862,12,7
1863,1,
1863,2,
1863,3,7
1863,4,
1863,5,
1863,6,
1863,7,
1863,8,
1863,9,
1863,10,
1863,11,
1863,12,
1864,1,
1864,2,
1864,3,5
1864,4,
1864,5,
1864,6,
1864,7,
1864,8,
1864,9,
1864,10,
1864,11,
1864,12,
1865,1,
1865,2,
1865,3,3
1865,4,
1865,5,
1865,6,
1865,7,
1865,8,
1865,9,
1865,10,
1865,11,
1865,12,
1866,1,
1866,2,
1866,3,5
1866,4,
1866,5,
1866,6,
1866,7,
1866,8,
1866,9,
1866,10,
1866,11,
1866,12,
1867,1,
1867,2,
1867,3,3
1867,4,
1867,5,
1867,6,
1867,7,
1867,8,
1867,9,
1867,10,
1867,11,
1867,12,
1868,1,
1868,2,
1868,3,7
1868,4,
1868,5,
1868,6,
1868,7,
1868,8,
1868,9,
1868,10,
1868,11,
1868,12,
1869,1,
1869,2,
1869,3,4
1869,4,
1869,5,
1869,6,
1869,7,
1869,8,
1869,9,
1869,10,
1869,11,
1869,12,
1870,1,
1870,2,
1870,3,4
1870,4,
1870,5,
1870,6,
1870,7,
1870,8,
1870,9,
1870,10,
1870,11,
1870,12,0
1871,1,
1871,2,
1871,3,7
1871,4,
1871,5,
1871,6,
1871,7,
1871,8,
1871,9,
1871,10,
1871,11,
1871,12,
1872,1,
1872,2,
1872,3,7
1872,4,
1872,5,
1872,6,
1872,7,
1872,8,
1872,9,
1872,10,
1872,11,
1872,12,
1873,1,
1873,2,
1873,3,6
1873,4,
1873,5,
1873,6,
1873,7,
1873,8,
1873,9,
1873,10,
1873,11,
1873,12,5
1874,1,
1874,2,
1874,3,7
1874,4,
1874,5,
1874,6,
1874,7,
1874,8,
1874,9,
1874,10,
1874,11,
1874,12,1
1875,1,7
1875,2,
1875,3,5
1875,4,
1875,5,
1875,6,
1875,7,
1875,8,
1875,9,
1875,10,
1875,11,
1875,12,
1876,1,
1876,2,
1876,3,5
1876,4,
1876,5,
1876,6,
1876,7,
1876,8,
1876,9,
1876,10,
1876,11,
1876,12,
1877,1,
1877,2,
1877,3,5
1877,4,
1877,5,
1877,6,
1877,7,
1877,8,
